Symbol,Signal,Score,Price,RSI,MACD_Hist,SMA20,SMA50,Entry,Target,StopLoss,RiskReward,Sector,MarketCap,PE_TTM,EPS_TTM,ROE,DebtEquity,Backtest_Return,Backtest_WinRate,MC_Bear,MC_Base,MC_Bull,HoldingDuration
INFY,SELL,-3,1079.2,51.74,2.503,1060.34,1109.89,1079.2,989.71,1123.94,2.0,Technology,4478221156352,14.309564,77.27,0.32,9.541,-9.23 %,20.0 %,900.12,1039.67,1200.48,Exit / Avoid new positions
ICICIBANK,HOLD,-1,1445.7,59.5,-1.4757,1417.18,1346.29,1445.7,1366.98,1485.06,2.0,Financial Services,10263525851136,18.500132,77.34,0.16073999,N/A,-7.95 %,33.3 %,1321.64,1457.07,1606.03,Monitor weekly; re-evaluate on next earnings or macro event
COFORGE,HOLD,0,1528.4,51.72,-4.4748,1486.61,1456.4,1528.4,1374.89,1605.16,2.0,Technology,746376724480,38.431732,43.87,N/A,7.518,0.67 %,50.0 %,1262.58,1537.48,1871.42,Monitor weekly; re-evaluate on next earnings or macro event
HDFCBANK,STRONG SELL,-6,739.55,20.81,-9.8837,794.77,778.63,739.55,693.05,762.8,2.0,Financial Services,11328853901312,16.407854,44.82,0.13838,N/A,9.12 %,66.7 %,661.21,733.74,814.03,Short-to-Medium Term (2–8 weeks)
KALYANKJIL,BUY,2,564.6,86.86,6.4667,487.18,411.94,564.6,661.77,516.01,2.0,Consumer Cyclical,628267483136,46.652607,13.04,0.24305001,96.966,-56.26 %,14.3 %,437.32,560.16,717.11,Medium-to-Long Term (1–6 months)
ETERNAL,HOLD,-1,295.85,55.17,-0.9432,285.37,264.97,295.85,264.26,311.65,2.0,Consumer Cyclical,2838483173376,656.06384,0.47,N/A,14.826,-11.45 %,25.0 %,243.96,298.9,366.04,Monitor weekly; re-evaluate on next earnings or macro event
VBL,STRONG SELL,-7,464.5,35.03,-0.4657,478.34,506.24,464.5,434.98,479.26,2.0,Consumer Defensive,1454459846656,45.59915,9.43,N/A,12.705,-32.38 %,0.0 %,380.13,451.94,537.12,Short-to-Medium Term (2–8 weeks)
HINDUNILVR,BUY,2,2174.6,43.37,3.9576,2153.38,2160.16,2174.6,2279.93,2121.93,2.0,Consumer Defensive,4752518152192,44.720318,45.23,0.21603,3.016,-24.34 %,0.0 %,1925.98,2139.42,2375.95,Short Term (1–4 weeks)
TCS,SELL,-2,2295.6,72.83,20.0775,2151.0,2188.12,2295.6,2115.72,2385.54,2.0,Technology,8676173676544,17.40961,137.74,0.47743,10.211,-13.71 %,20.0 %,1941.09,2199.92,2492.58,Exit / Avoid new positions
LODHA,HOLD,-1,1198.7,63.6,-5.8164,1132.5,997.09,1198.7,1046.18,1274.96,2.0,Real Estate,1300003684352,31.55674,41.24,N/A,42.238,-18.07 %,20.0 %,959.4,1182.49,1456.79,Monitor weekly; re-evaluate on next earnings or macro event
BEL,STRONG SELL,-7,407.15,36.3,-0.3789,411.27,413.1,407.15,388.55,416.45,2.0,Industrials,2843504017408,46.36472,8.39,N/A,0.273,25.51 %,60.0 %,353.91,411.25,477.71,Short-to-Medium Term (2–8 weeks)
BHARTIARTL,STRONG SELL,-5,1905.3,46.31,-3.4791,1912.94,1874.82,1905.3,1801.08,1957.41,2.0,Communication Services,11864680431616,42.842983,44.39,0.19358999,99.718,13.15 %,66.7 %,1730.45,1928.51,2148.73,Short-to-Medium Term (2–8 weeks)
RELIANCE,STRONG SELL,-7,1280.0,41.94,-1.7798,1297.87,1309.44,1280.0,1207.58,1316.21,2.0,Energy,17155114401792,22.978067,55.17,N/A,36.653,-1.19 %,50.0 %,1132.7,1262.87,1407.67,Short-to-Medium Term (2–8 weeks)
SUZLON,SELL,-4,53.15,41.15,-0.0757,54.07,55.15,53.15,49.85,54.8,2.0,Industrials,659984875520,20.78788,2.31,0.40636003,5.873,-10.2 %,40.0 %,42.54,52.2,64.04,Exit / Avoid new positions
CUPID,BUY,2,221.46,50.18,-1.8281,208.37,172.55,221.46,262.8,200.79,2.0,Consumer Defensive,311732699136,289.7875,0.8,0.27297002,12.506,406.38 %,50.0 %,196.51,255.41,331.78,Medium-to-Long Term (1–6 months)
